  [6] 17850/19277 (93%) loss=3.3143 ppl=27.5 lr=3.60e-05 | 23730 tok/s (avg 23603) ETA 6m11s | GPU 1.9/20.1GB | gtok=701865984
  [6] 17900/19277 (93%) loss=3.5421 ppl=34.5 lr=3.59e-05 | 23732 tok/s (avg 23603) ETA 5m58s | GPU 1.9/20.1GB | gtok=702173184
  [6] 17950/19277 (93%) loss=3.3931 ppl=29.8 lr=3.59e-05 | 23730 tok/s (avg 23604) ETA 5m45s | GPU 1.9/20.1GB | gtok=702480384
  [6] 18000/19277 (93%) loss=3.7982 ppl=44.6 lr=3.59e-05 | 23732 tok/s (avg 23604) ETA 5m32s | GPU 1.9/20.1GB | gtok=702787584
  [6] 18050/19277 (94%) loss=3.4250 ppl=30.7 lr=3.58e-05 | 23732 tok/s (avg 23604) ETA 5m19s | GPU 1.9/20.1GB | gtok=703094784
  [6] 18100/19277 (94%) loss=3.3434 ppl=28.3 lr=3.58e-05 | 23732 tok/s (avg 23605) ETA 5m06s | GPU 1.9/20.1GB | gtok=703401984
  [6] 18150/19277 (94%) loss=3.5438 ppl=34.6 lr=3.57e-05 | 23734 tok/s (avg 23605) ETA 4m53s | GPU 1.9/20.1GB | gtok=703709184
  [6] 18200/19277 (94%) loss=3.4673 ppl=32.0 lr=3.57e-05 | 23734 tok/s (avg 23605) ETA 4m40s | GPU 1.9/20.1GB | gtok=704016384
  [6] 18250/19277 (95%) loss=3.2903 ppl=26.9 lr=3.57e-05 | 23732 tok/s (avg 23606) ETA 4m27s | GPU 1.9/20.1GB | gtok=704323584
  [6] 18300/19277 (95%) loss=3.6816 ppl=39.7 lr=3.56e-05 | 23732 tok/s (avg 23606) ETA 4m14s | GPU 1.9/20.1GB | gtok=704630784
  [6] 18350/19277 (95%) loss=3.4884 ppl=32.7 lr=3.56e-05 | 23732 tok/s (avg 23606) ETA 4m01s | GPU 1.9/20.1GB | gtok=704937984
  [6] 18400/19277 (95%) loss=3.2810 ppl=26.6 lr=3.55e-05 | 23734 tok/s (avg 23607) ETA 3m47s | GPU 1.9/20.1GB | gtok=705245184
  [6] 18450/19277 (96%) loss=3.2930 ppl=26.9 lr=3.55e-05 | 23732 tok/s (avg 23607) ETA 3m34s | GPU 1.9/20.1GB | gtok=705552384
  [6] 18500/19277 (96%) loss=3.6018 ppl=36.7 lr=3.55e-05 | 23732 tok/s (avg 23607) ETA 3m21s | GPU 1.9/20.1GB | gtok=705859584
  [6] 18550/19277 (96%) loss=3.7475 ppl=42.4 lr=3.54e-05 | 23731 tok/s (avg 23608) ETA 3m08s | GPU 1.9/20.1GB | gtok=706166784
  [6] 18600/19277 (96%) loss=3.3908 ppl=29.7 lr=3.54e-05 | 23730 tok/s (avg 23608) ETA 2m55s | GPU 1.9/20.1GB | gtok=706473984
  [6] 18650/19277 (97%) loss=3.4562 ppl=31.7 lr=3.54e-05 | 23733 tok/s (avg 23608) ETA 2m42s | GPU 1.9/20.1GB | gtok=706781184
  [6] 18700/19277 (97%) loss=3.7313 ppl=41.7 lr=3.53e-05 | 23732 tok/s (avg 23609) ETA 2m29s | GPU 1.9/20.1GB | gtok=707088384
  [6] 18750/19277 (97%) loss=3.5001 ppl=33.1 lr=3.53e-05 | 23728 tok/s (avg 23609) ETA 2m16s | GPU 1.9/20.1GB | gtok=707395584
  [6] 18800/19277 (98%) loss=3.8173 ppl=45.5 lr=3.52e-05 | 23730 tok/s (avg 23609) ETA 2m03s | GPU 1.9/20.1GB | gtok=707702784
  [6] 18850/19277 (98%) loss=3.7233 ppl=41.4 lr=3.52e-05 | 23731 tok/s (avg 23610) ETA 1m50s | GPU 1.9/20.1GB | gtok=708009984
  [6] 18900/19277 (98%) loss=3.9589 ppl=52.4 lr=3.52e-05 | 23731 tok/s (avg 23610) ETA 1m37s | GPU 1.9/20.1GB | gtok=708317184
  [6] 18950/19277 (98%) loss=3.3641 ppl=28.9 lr=3.51e-05 | 23732 tok/s (avg 23610) ETA 1m24s | GPU 1.9/20.1GB | gtok=708624384
  [6] 19000/19277 (99%) loss=3.7095 ppl=40.8 lr=3.51e-05 | 23731 tok/s (avg 23611) ETA 1m11s | GPU 1.9/20.1GB | gtok=708931584
  [6] 19050/19277 (99%) loss=3.8609 ppl=47.5 lr=3.50e-05 | 23732 tok/s (avg 23611) ETA 0m58s | GPU 1.9/20.1GB | gtok=709238784
  [6] 19100/19277 (99%) loss=3.9463 ppl=51.7 lr=3.50e-05 | 23731 tok/s (avg 23611) ETA 0m45s | GPU 1.9/20.1GB | gtok=709545984
  [6] 19150/19277 (99%) loss=3.5030 ppl=33.2 lr=3.50e-05 | 23731 tok/s (avg 23612) ETA 0m32s | GPU 1.9/20.1GB | gtok=709853184
  [6] 19200/19277 (100%) loss=3.2674 ppl=26.2 lr=3.49e-05 | 23729 tok/s (avg 23612) ETA 0m19s | GPU 1.9/20.1GB | gtok=710160384
  [6] 19250/19277 (100%) loss=3.3704 ppl=29.1 lr=3.49e-05 | 23730 tok/s (avg 23612) ETA 0m06s | GPU 1.9/20.1GB | gtok=710467584
