[2026-05-09 07:34:40]   [1] batch 2349/19277 loss=5.5543 ppl=258.3 div=1.90e-02 wdiv=9.48e-04 lr=1.00e-04 | inst 12223 tok/s avg 11701 tok/s |  12.2% eta 2:21:48 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:35:05]   [1] batch 2399/19277 loss=5.5094 ppl=247.0 div=1.77e-02 wdiv=8.84e-04 lr=1.00e-04 | inst 12233 tok/s avg 11712 tok/s |  12.5% eta 2:21:16 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:35:30]   [1] batch 2449/19277 loss=5.7462 ppl=313.0 div=1.79e-02 wdiv=8.95e-04 lr=1.00e-04 | inst 12085 tok/s avg 11719 tok/s |  12.7% eta 2:22:34 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:35:56]   [1] batch 2499/19277 loss=5.5273 ppl=251.5 div=1.73e-02 wdiv=8.66e-04 lr=1.00e-04 | inst 12222 tok/s avg 11729 tok/s |  13.0% eta 2:20:33 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:36:21]   [1] batch 2549/19277 loss=5.4818 ppl=240.3 div=1.87e-02 wdiv=9.37e-04 lr=1.00e-04 | inst 12218 tok/s avg 11738 tok/s |  13.2% eta 2:20:11 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:36:46]   [1] batch 2599/19277 loss=5.6141 ppl=274.3 div=1.79e-02 wdiv=8.95e-04 lr=1.00e-04 | inst 12216 tok/s avg 11747 tok/s |  13.5% eta 2:19:47 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:37:11]   [1] batch 2649/19277 loss=5.4539 ppl=233.7 div=1.89e-02 wdiv=9.45e-04 lr=1.00e-04 | inst 12231 tok/s avg 11756 tok/s |  13.7% eta 2:19:12 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:37:36]   [1] batch 2699/19277 loss=5.6059 ppl=272.0 div=1.86e-02 wdiv=9.29e-04 lr=1.00e-04 | inst 12236 tok/s avg 11764 tok/s |  14.0% eta 2:18:43 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:38:02]   [1] batch 2749/19277 loss=5.8251 ppl=338.7 div=1.72e-02 wdiv=8.61e-04 lr=9.99e-05 | inst 12096 tok/s avg 11770 tok/s |  14.3% eta 2:19:54 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:38:27]   [1] batch 2799/19277 loss=5.6029 ppl=271.2 div=1.75e-02 wdiv=8.76e-04 lr=9.99e-05 | inst 12216 tok/s avg 11778 tok/s |  14.5% eta 2:18:07 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:38:52]   [1] batch 2849/19277 loss=5.9113 ppl=369.2 div=1.81e-02 wdiv=9.07e-04 lr=9.99e-05 | inst 12216 tok/s avg 11785 tok/s |  14.8% eta 2:17:41 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:39:17]   [1] batch 2899/19277 loss=5.7092 ppl=301.6 div=1.84e-02 wdiv=9.19e-04 lr=9.99e-05 | inst 12208 tok/s avg 11792 tok/s |  15.0% eta 2:17:22 | mem 2.1/21.0G peak 21.0G
