[2026-04-15 00:26:26] Wall clock start: 2026-04-15 00:26:26
[2026-04-15 00:26:26] ============================================================
[2026-04-15 00:26:26]   Transformer Baseline (~100M params)
[2026-04-15 00:26:26]   GPT-2-style decoder-only transformer
[2026-04-15 00:26:26]   Same data pipeline as PAM v3 for fair comparison
[2026-04-15 00:26:26] ============================================================
[2026-04-15 00:26:26] Architecture: d_model=136, n_layers=13, n_heads=2, d_ff=544
[2026-04-15 00:26:26] seq_len=512, dropout=0.1, tie_weights=True
[2026-04-15 00:26:26] Training: lr=0.0003, warmup=500, wd=0.01, grad_clip=1.0
[2026-04-15 00:26:26] Batch size: 8, Epochs: 10
[2026-04-15 00:26:26] AMP

Loading WikiText-103 
[2026-04-15 00:26:26] Loadi
/Users/caug/npcww/qnlp/qllm-private/.venv/li[2026-04-15 00:26:28] [cache] Loaded WikiText-103 train from .cache/v6_tokens/wikitext103_train_v2_full_sl512.pt (118,496,145 tokens)
[2026-04-15 00:26:28] [cache] Loaded WikiText-103 validation from .cache/v6_tokens/wikitext103_validation_v2_full_sl512.pt (248,461 tokens)
[2026-04-15 00:26:28] Train chunks: 230986, Val chunks: 484
[2026-04-15 00:26:28] Train batches: 28874, Val batches: 61

[2026-04-15 00:26:28] Model parameters: {'embeddings': 6904584, 'transformer_blocks': 2908360, 'final_ln': 272, 'lm_head': 0, 'total': 9813216}
[2026-04-15 00:26:28] Total: 9,813,216 (9.8M)
[2026-04-15 00:26:28] Param groups: 52 tensors (2,885,376 params) with weight decay, 108 tensors (6,927,840 params) without

[2026-04-15 00:26:28] Training on mps
[2026-04-15 00:26:28] Parameters: {'embeddings': 6904584, 'transformer_blocks': 2908360, 'final_ln': 272, 'lm_head': 0, 'total': 9813216}
[2026-04-15 00:26:28] Total: 9,813,216 (9.8M)
[2026-04-15 00:26:28] Epochs: 1..10, Batches/epoch: 2887



[2026-04-15 00:26:28] =====================================
Epoch 1/10
=============================================[2026-04-15 00:
  [1] 5150/28874 (18%) loss=5.6276 ppl=278.0 lr=3.00e-04 | 8330 tok/s (avg 9104) ETA 177m52s | gtok=21098496
  [1] 5200/28874 (18%) loss=5.3483 ppl=210.3 lr=3.00e-04 | 8460 tok/s (avg 9098) ETA 177m38s | gtok=21303296
  [1] 5250/28874 (18%) loss=5.5800 ppl=265.1 lr=3.00e-04 | 8202 tok/s (avg 9088) ETA 177m26s | gtok=21508096
  [1] 5300/28874 (18%) loss=5.5456 ppl=256.1 lr=3.00e-04 | 8203 tok/s (avg 9079) ETA 177m14s | gtok=21712896
  [1] 5350/28874 (19%) loss=5.6583 ppl=286.7 lr=3.00e-04 | 8262 tok/s (avg 9071) ETA 177m02s | gtok=21917696
  [1] 5400/28874 (19%) loss=5.3730 ppl=215.5 lr=3.00e-04 | 8090 tok/s (avg 9060) ETA 176m51s | gtok=22122496
  [1] 5450/28874 (19%) loss=5.4487 ppl=232.5 lr=3.00e-04 | 8267 tok/s (avg 9052) ETA 176m38s | gtok=22327296
  [1] 5500/28874 (19%) loss=5.1675 ppl=175.5 lr=3.00e-04 | 8333 tok/s (avg 9045) ETA 176m23s | gtok=22532096
  [1] 5550/28874 (19%) loss=5.5920 ppl=268.3 lr=3.00e-04 | 8231 tok/s (avg 9037) ETA 176m10s | gtok=22736896
  [1] 5600/28874 (19%) loss=5.4076 ppl=223.1 lr=3.00e-04 | 8246 tok/s (avg 9030) ETA 175m57s | gtok=22941696
  [1] 5650/28874 (20%) loss=5.2874 ppl=197.8 lr=3.00e-04 | 8126 tok/s (avg 9021) ETA 175m44s | gtok=23146496
  [1] 5700/28874 (20%) loss=5.2593 ppl=192.4 lr=3.00e-04 | 8445 tok/s (avg 9015) ETA 175m28s | gtok=23351296
  [1] 5750/28874 (20%) loss=5.6874 ppl=295.1 lr=3.00e-04 | 8310 tok/s (avg 9009) ETA 175m13s | gtok=23556096
  [1] 5800/28874 (20%) loss=5.0871 ppl=161.9 lr=3.00e-04 | 8201 tok/s (avg 9001) ETA 174m59s | gtok=23760896
  [1] 5850/28874 (20%) loss=5.2231 ppl=185.5 lr=3.00e-04 | 8402 tok/s (avg 8996) ETA 174m43s | gtok=23965696
  [1] 5900/28874 (20%) loss=5.3886 ppl=218.9 lr=3.00e-04 | 8322 tok/s (avg 8989) ETA 174m27s | gtok=24170496
  [1] 5950/28874 (21%) loss=5.1290 ppl=168.9 lr=3.00e-04 | 8321 tok/s (avg 8983) ETA 174m11s | gtok=24375296
  [1] 6000/28874 (21%) loss=5.5338 ppl=253.1 lr=3.00e-04 | 8248 tok/s (avg 8977) ETA 173m56s | gtok=24580096
  [1] 6050/28874 (21%) loss=5.5064 ppl=246.3 lr=3.00e-04 | 8709 tok/s (avg 8974) ETA 173m36s | gtok=24784896
  [1] 6100/28874 (21%) loss=5.4619 ppl=235.6 lr=3.00e-04 | 8358 tok/s (avg 8969) ETA 173m20s | gtok=24989696
  [1] 6150/28874 (21%) loss=5.7660 ppl=319.3 lr=3.00e-04 | 8400 tok/s (avg 8964) ETA 173m03s | gtok=25194496
  [1] 6200/28874 (21%) loss=5.3445 ppl=209.4 lr=3.00e-04 | 8308 tok/s (avg 8958) ETA 172m46s | gtok=25399296
  [1] 6250/28874 (22%) loss=5.4241 ppl=226.8 lr=3.00e-04 | 8202 tok/s (avg 8952) ETA 172m31s | gtok=25604096
  [1] 6300/28874 (22%) loss=5.0940 ppl=163.0 lr=3.00e-04 | 8198 tok/s (avg 8945) ETA 172m16s | gtok=25808896
  [1] 6350/28874 (22%) loss=5.3387 ppl=208.2 lr=3.00e-04 | 8441 tok/s (avg 8941) ETA 171m58s | gtok=26013696
  [1] 6400/28874 (22%) loss=5.4441 ppl=231.4 lr=3.00e-04 | 8290 tok/s (avg 8935) ETA 171m41s | gtok=26218496
  [1] 6450/28874 (22%) loss=5.1800 ppl=177.7 lr=3.00e-04 | 8213 tok/s (avg 8929) ETA 171m25s | gtok=26423296
  [1] 6500/28874 (23%) loss=5.2910 ppl=198.5 lr=3.00e-04 | 8225 tok/s (avg 8923) ETA 171m09s | gtok=26628096
  [1] 6550/28874 (23%) loss=5.6565 ppl=286.2 lr=3.00e-04 | 8358 tok/s (avg 8919) ETA 170m51s | gtok=26832896
  [1] 6600/28874 (23%) loss=5.2847 ppl=197.3 lr=3.00e-04 | 8349 tok/s (avg 8914) ETA 170m34s | gtok=27037696
