device=cuda preset=baseline_real dataset=tinystories
[cache] Loaded TinyStories train from .cache/v7_tokens/tinystories_train_v2_ms20000_sl256_r1.pt (4,465,139 tokens)
[cache] Loaded TinyStories validation from .cache/v7_tokens/tinystories_validation_v2_ms20000_sl256_r1.pt (388,958 tokens)
Train chunks: 17374, Val chunks: 1513
params: 161,972,192 (161.97M)
step 376  loss=3.7922  lr=4.98e-05
step 377  loss=3.8314  lr=4.98e-05
step 378  loss=3.7802  lr=4.98e-05
step 379  loss=4.0510  lr=4.98e-05
step 380  loss=3.4697  lr=4.98e-05
step 381  loss=3.9455  lr=4.98e-05
step 382  loss=3.8664  lr=4.98e-05
step 383  loss=3.9312  lr=4.98e-05
step 384  loss=3.7038  lr=4.98e-05
step 385  loss=3.5973  lr=4.98e-05
step 386  loss=3.9432  lr=4.98e-05
step 387  loss=3.9612  lr=4.98e-05
step 388  loss=3.8102  lr=4.98e-05
step 389  loss=3.6838  lr=4.98e-05
step 390  loss=3.7632  lr=4.98e-05
step 391  loss=3.6073  lr=4.98e-05
step 392  loss=3.7051  lr=4.98e-05
step 393  loss=4.0502  lr=4.98e-05
step 394  loss=3.6151  lr=4.98e-05
step 395  loss=3.7159  lr=4.98e-05
step 396  loss=3.6897  lr=4.98e-05
step 397  loss=3.7658  lr=4.98e-05
step 398  loss=3.7532  lr=4.98e-05
step 399  loss=3.7294  lr=4.98e-05
step 400  loss=3.8285  lr=4.98e-05
step 401  loss=3.8239  lr=4.98e-05
step 402  loss=3.6850  lr=4.98e-05
step 403  loss=3.8874  lr=4.98e-05
step 404  loss=4.0227  lr=4.98e-05
step 405  loss=3.7749  lr=4.98e-05
step 406  loss=3.5725  lr=4.98e-05
step 407  loss=3.7187  lr=4.98e-05
step 408  loss=3.7243  lr=4.98e-05
step 409  loss=3.9454  lr=4.98e-05
step 410  loss=3.7762  lr=4.98e-05
step 411  loss=3.7578  lr=4.98e-05
step 412  loss=3.8262  lr=4.98e-05
step 413  loss=3.6729  lr=4.98e-05
step 414  loss=3.8178  lr=4.98e-05
step 415  loss=3.4968  lr=4.98e-05
step 416  loss=3.9515  lr=4.98e-05
step 417  loss=3.7052  lr=4.98e-05
step 418  loss=3.8537  lr=4.98e-05
step 419  loss=3.6550  lr=4.98e-05
step 420  loss=3.7269  lr=4.98e-05
step 421  loss=3.7654  lr=4.98e-05
step 422  loss=3.9747  lr=4.98e-05
step 423  loss=3.8192  lr=4.98e-05
step 424  loss=3.5106  lr=4.98e-05
step 425  loss=3.8539  lr=4.98e-05
step 426  loss=4.0300  lr=4.98e-05
step 427  loss=3.5904  lr=4.98e-05
step 428  loss=3.8118  lr=4.98e-05
step 429  loss=3.6115  lr=4.98e-05
step 430  loss=3.6508  lr=4.98e-05
step 431  loss=3.8739  lr=4.98e-05
step 432  loss=3.6823  lr=4.98e-05
step 433  loss=3.7503  lr=4.98e-05
step 434  loss=3.9872  lr=4.98e-05
step 435  loss=3.6956  lr=4.98e-05
step 436  loss=3.8886  lr=4.98e-05
step 437  loss=3.4711  lr=4.98e-05
